date,temp_high,temp_low,humidity_mean,dewpoint_mean,pressure_mean,wind_mean,precip_total
2022-09-07,94.0,81.0,73.98242424242424,75.27878787878787,1014.2083333333334,3.3238244514106583,5.33
2022-09-08,93.0,75.0,75.00722222222223,74.09444444444445,1009.4791666666666,4.142857142857143,4.07
2022-09-09,91.0,76.0,77.92387096774193,75.78064516129032,1009.4791666666666,6.434952978056426,1.0
2022-09-10,93.0,83.0,70.21640000000001,76.36,1015.1833333333334,7.113782051282051,0.0
2022-09-11,93.0,83.0,70.49740740740741,75.75555555555556,1018.0833333333334,5.644126984126984,0.0
2022-09-12,93.0,78.8,69.64689655172414,73.84137931034483,1015.5749999999999,3.0484126984126982,1.5100000000000002
2022-09-13,91.0,78.0,70.4035294117647,74.41764705882352,1013.0916666666667,3.08816199376947,0.81
2022-09-14,87.0,75.0,83.70170212765957,73.9531914893617,1013.8833333333333,3.8459580838323353,21.64
2022-09-15,89.0,76.0,82.63722222222222,74.63888888888889,1015.8583333333332,3.107142857142857,4.07
2022-09-16,88.0,76.0,82.73297297297297,74.07027027027027,1017.0708333333333,3.68359375,4.72
2022-09-17,91.0,79.0,78.77911764705881,75.36470588235295,1016.1125000000001,5.792857142857143,2.19
2022-09-18,88.0,75.0,84.63416666666666,74.51666666666667,1014.6708333333332,3.6255451713395637,1.29
2022-09-19,88.0,76.0,78.33428571428571,74.92857142857143,1013.1458333333334,2.8349683544303796,0.0
2022-09-20,92.0,78.0,73.96653846153846,74.53846153846153,1012.7083333333334,5.1603503184713375,0.0
2022-09-21,92.0,80.0,73.07928571428572,74.64285714285714,1011.0500000000001,4.307936507936508,0.64
2022-09-22,94.0,79.0,73.53470588235294,74.60000000000001,1010.15,4.76171875,0.0
2022-09-23,94.0,80.0,63.80583333333333,71.75,1012.1958333333333,3.6533762057877817,0.0
2022-09-24,91.0,79.0,73.18857142857144,74.25,1013.7833333333333,3.071565495207668,2.04
2022-09-25,89.0,78.0,78.88166666666667,75.33333333333333,1012.1875,4.019417475728155,0.9500000000000001
2022-09-26,88.0,75.0,80.11757575757576,75.14545454545456,1011.3083333333334,4.671651090342679,5.32
2022-09-27,83.0,76.0,91.00139999999999,75.764,1010.8458333333333,10.026775147928994,32.85
2022-09-28,86.0,78.0,82.15128205128205,76.72307692307692,1005.5458333333332,20.372935779816512,8.32
2022-09-29,86.0,78.0,77.04228571428571,72.82285714285715,1005.5875,13.485714285714284,0.0
2022-09-30,84.0,69.0,71.92999999999999,66.375,1008.1,6.57459807073955,0.0
2022-10-01,85.0,76.0,72.45833333333333,70.04166666666667,1009.6208333333334,4.139262820512821,0.0
2022-10-02,87.0,75.0,70.19333333333333,69.375,1011.9541666666668,5.986655948553055,0.06
2022-10-03,90.0,74.0,58.684583333333336,64.54166666666667,1013.125,4.818167202572347,0.0
2022-10-04,88.0,75.0,63.331250000000004,67.0,1013.4541666666668,5.783279742765273,0.0
2022-10-05,86.0,73.0,68.645,67.58333333333333,1014.7166666666667,5.42459807073955,0.0
2022-10-06,85.0,76.0,66.93583333333333,67.875,1016.6333333333333,6.0264423076923075,0.0
2022-10-07,87.0,76.0,63.21,66.58333333333333,1018.0749999999999,6.389710610932476,0.0
2022-10-08,85.0,75.0,74.37615384615384,70.46153846153847,1016.9166666666666,6.767731629392972,0.46
2022-10-09,84.0,75.2,89.28049999999999,75.59,1016.7333333333332,6.0375,20.34
2022-10-10,89.0,77.0,80.86923076923077,75.23846153846154,1017.0875,4.50814696485623,0.0
2022-10-11,89.0,81.0,73.998,75.32,1018.2083333333334,7.651923076923077,0.0
2022-10-12,90.0,81.0,74.51416666666667,75.45833333333333,1017.1416666666668,9.033601286173633,0.0
2022-10-13,87.0,76.0,82.75314285714286,75.02857142857142,1012.6750000000001,5.675232198142415,16.93
2022-10-14,87.0,76.0,83.18689655172415,74.03448275862068,1012.3874999999999,3.511671924290221,2.52
2022-10-15,89.0,79.0,77.77038461538461,74.20769230769231,1015.3166666666666,5.885509554140127,0.5
2022-10-16,88.0,80.0,71.33800000000001,72.44,1015.6666666666666,8.79217252396166,0.0
2022-10-17,87.0,79.0,71.51666666666667,72.125,1013.0208333333334,8.260096153846154,0.060000000000000005
2022-10-18,89.0,78.0,78.03999999999999,74.32142857142857,1010.2666666666668,6.088449367088608,0.0
2022-10-19,80.6,63.0,78.97285714285715,64.39428571428572,1013.3708333333334,7.421428571428571,2.54
2022-10-20,80.0,64.0,74.5112,61.56,1014.7708333333334,5.59150641025641,0.0
